"","name","price","sex","height","color","location","markings","weight","foaldate","registrations","disciplines","temperament","link"
"1610","American Honey aka Honey",10000,"Mare","16.3 hands","Chestnut","Oconomowoc, Wisconsin","white stripe down her face. hind white socks, front left while sock.","1500 pounds","Jul-01","USEF - United States Equestrian Federation (5139783)","Dressage (Prospect) Companion Only (Rank Not Applicable) Trail Horse (Prospect) Brood Mare (Rank Not Applicable)",2,"http://www.equine.com/horses-for-sale/horse-ad-2844545.html"
"3589","Balla Ruan",12000,"Gelding","16.2 hands","Chestnut","Hamilton, Ohio","Star, Front Socks","","Jun-08","AWS - American Warmblood Society (AWS2010080) Irish Draught Horse Society of North America (MS0801569)","Eventing (Competed or Shown) Dressage (Champion) Field Hunter (Trained) Hunter (Competed or Shown) Driving (Trained)",4,"http://www.equine.com/horses-for-sale/horse-ad-2669635.html"
"5635","Scotch",1800,"Gelding","15.0 hands","Cremello","Springport, Indiana","","","Apr-09","","Gaited  Trail Horse ",2,"http://www.equine.com/horses-for-sale/horse-ad-2881711.html"
"7518","Okie",12000,"Mare","14.1 hands","Chestnut","Orchard Park, New York","","","May-03","","Hunter (Competed or Shown) Hunter Under Saddle (Competed or Shown) Equitation (Competed or Shown) English Pleasure (Competed or Shown) Lesson Horse (Competed or Shown)",4,"http://www.equine.com/horses-for-sale/horse-ad-2827056.html"
"3640","Bandolero Del Batey",2000,"Gelding","14.2 hands","White","Davie, Florida","","","Apr-98","PFHA - Paso Fino Horse Association (31,285)","Trail Horse (Trained) Gaited (Trained)",4,"http://www.equine.com/horses-for-sale/horse-ad-2666535.html"
"3046","Shes Turnin Heads",10500,"Mare","","Bay","Comstock Park, Michigan","","","Jan-12","AQHA - American Quarter Horse Association (5440549)","Hunter Under Saddle (Prospect) Western Pleasure (Prospect)",2,"http://www.equine.com/horses-for-sale/horse-ad-2355136.html"
"4454","Maple Leaf's Opal Alexa",9700,"Mare","15.0 hands","Pinto","Winchester, Virginia","","","Jun-02","","Field Hunter (Trained) Dressage (Competed or Shown) Jumper (Competed or Shown) Eventing (Competed or Shown)",5,"http://www.equine.com/horses-for-sale/horse-ad-2844547.html"
"8420","mirage (elbertons ellie)",1500,"Mare","16.2 hands","Bay","wantage, New Jersey","","1000 pounds","Jan-99","","Brood Mare (Trained) Breeding  Dressage (Prospect) Field Hunter (Prospect) Endurance Riding (Prospect)",5,"http://www.equine.com/horses-for-sale/horse-ad-2805982.html"
"6615","Roberto's Storm",1600,"Gelding","15.0 hands","Bay","Jacksonville, North Carolina","No white markings","1050 pounds","Mar-04","JC - Jockey Club (H14428)","Dressage (Trained) English Pleasure (Competed or Shown) Western Riding (Trained) Jumper (Prospect) Youth/4-H Horse (Rank Not Applicable)",3,"http://www.equine.com/horses-for-sale/horse-ad-2845237.html"
"7118","Karson",1500,"Gelding","13.2 hands","Chestnut","Batavia, New York","Blaze, left hind sox","900 pounds","Aug-97","","Jumper (Champion) Barrel Racing (Champion) Lesson Horse (Trained) Youth/4-H Horse (Champion) Dressage (Competed or Shown)",5,"http://www.equine.com/horses-for-sale/horse-ad-2833105.html"
"1435","Ice Coaled Te",3200,"Gelding","15.3 hands","Black","Williamstown, New Jersey","star and strip","1300 pounds","Jan-09","AQHA - American Quarter Horse Association ()","Youth/4-H Horse (Prospect) Western Pleasure (Prospect) Country Pleasure (Prospect) Beginner/Family (Prospect) Halter (Prospect)",2,"http://www.equine.com/horses-for-sale/horse-ad-2850716.html"
"4871","Pushers Fancy Parolee",1375,"Mare","15.1 hands","Black","Mt Vernon, Illinois","White blaze and white sock","1000 pounds","Apr-07","TWHBEA - Tennessee Walking Horse Breeders' and Exhibitors' Association ()","Gaited (Trained) Trail Horse (Trained)",5,"http://www.equine.com/horses-for-sale/horse-ad-2823057.html"
"7516","Capricho",4000,"Gelding","17.0 hands","Grey","Murrieta, California","Fleabitten","","Jan-04","","",4,"http://www.equine.com/horses-for-sale/horse-ad-2827060.html"
"2836","Xico HM",45000,"Gelding","15.3 hands","Bay","New Haven, Vermont","Large star","","Sep-02","IALHA - International Andalusian & Lusitano Horse Association ()","Dressage (Competed or Shown)",5,"http://www.equine.com/horses-for-sale/horse-ad-2757616.html"
"6893","Coco",5000,"Mare","12.0 hands","Bay","Uxbridge, Ontario, Canada","","","May-05","CHSA ()","Beginner/Family (Rank Not Applicable) Breeding (Rank Not Applicable) English Pleasure (Trained) Equitation (Trained) Hunter (Prospect)",2,"http://www.equine.com/horses-for-sale/horse-ad-2840068.html"
"815","Slidin Special Effort (pending)",1200,"Stallion","15.0 hands","Bay","College Station , Texas","star, snip","","Apr-11","APHA - American Paint Horse Association ()","Barrel Racing (Prospect) Team Roping (Prospect)",5,"http://www.equine.com/horses-for-sale/horse-ad-2839159.html"
"5729","IBE PEPPY SAN LUKE",1500,"Gelding","","Black","Worden, Montana","white on upper lip","","Mar-12","AQHA - American Quarter Horse Association (4195776)","Country Pleasure (Champion)",5,"http://www.equine.com/horses-for-sale/horse-ad-2881103.html"
"6360","R Chocolate Zip aka Merlin",3000,"Gelding","15.2 hands","White","Columbus, Ohio","","","Jan-98","APHA - American Paint Horse Association () PtHA - Pinto Horse Association of America ()","Trail Horse (Trained) English Pleasure (Trained) Beginner/Family (Rank Not Applicable) Western Pleasure (Trained)",4,"http://www.equine.com/horses-for-sale/horse-ad-2849689.html"
"6090","Blu",2500,"Gelding","16.0 hands","Other","castro valley, California","","","Feb-09","","Barrel Racing (Prospect) Dressage (Prospect) English Pleasure (Prospect) Jumper (Prospect) Trail Horse (Prospect)",3,"http://www.equine.com/horses-for-sale/horse-ad-2854177.html"
"6426","Frank",250,"Gelding","13.3 hands","Cremello","Palmyra, Indiana","","","Jan-06","","Trail Horse (Prospect)",4,"http://www.equine.com/horses-for-sale/horse-ad-2848012.html"
"8634","",1000,"Mare","","Chestnut","Fredonia, New York","","","Jan-07","","",4,"http://www.equine.com/horses-for-sale/horse-ad-2802988.html"
"9200","Lil Star Zan",3000,"Mare","15.1 hands","Buckskin","Salem, Alabama","white coronet bands on back feet","","Apr-05","AQHA - American Quarter Horse Association (4697906)","",3,"http://www.equine.com/horses-for-sale/horse-ad-2306860.html"
"7849","Celena",5000,"Mare","14.2 hands","Bay","Grand Marais, Minnesota","Left hind half pastern with partial white.","1000 pounds","Jun-03","AQHA - American Quarter Horse Association (4449387)","Reining (Trained) Cutting (Trained) Ranch Sorting (Prospect) Team Penning (Prospect) Trail Horse (Trained)",3,"http://www.equine.com/horses-for-sale/horse-ad-2820608.html"
